id,Question,Answer1,Value1,Answer2,Value2
Q01,話すペースが,はやい,A,ゆっくり,B
Q02,話すとき間を,とらない,A,とる,B
Q03,話すとき語尾が,きつい,A,ソフト,B
Q04,話すとき声が,大きい,A,小さい,B
Q05,話すとき,自分から話す,A,聞かれると話す,B
Q06,話すとき,結論から話す,A,順を追って話す,B
Q07,話すとき,まず自分の意見を言う,A,まず相手の意見を聞く,B
Q08,話すとき,視線を合わせる,A,視線を合わせない,B
Q09,話すとき,質問に即答,A,質問は熟考,B
Q10,表情が,豊か,C,ポーカーフェイス,D
Q11,声に,抑揚がある,C,抑揚がない,D
Q12,身振り手振りを,交えて話す,C,あまり交えない,D
Q13,雰囲気は,フレンドリーである,C,ビジネスライクである,D
Q14,使う言葉は,平易なものが多い,C,難しいものが多い,D
Q15,話の始めは,たとえ話やエピソード,C,情報やデータ数値,D
Q16,はじめは,まずは人間関係を作る,C,すぐに仕事を進める,D
Q17,仕事のしかたは,仲間と一緒に進めていく,C,一人で黙々と進める,D
Q18,気持ちは,顔に出やすい,C,顔には出ない,D